BOUTIQUE|PERIODE|NB_CLOTURES_ETIQUETEES|CLOTURES|STATUT|NOTE
MASSENA|2023-01|1|2023-01:0061:2023-01-31 18:44:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-02|1|2023-02:0062:2023-03-03 19:13:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-03|1|2023-03:0063:2023-04-01 10:35:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-04|1|2023-04:0064:2023-05-02 08:33:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-05|1|2023-05:0065:2023-06-01 10:11:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-06|1|2023-06:0066:2023-07-01 14:49:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-07|1|2023-07:0067:2023-08-01 13:05:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-08|1|2023-08:0068:2023-09-01 18:14:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-09|1|2023-09:0069:2023-10-01 17:53:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-10|1|2023-10:0070:2023-11-10 16:03:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-11|1|2023-11:0071:2023-12-01 14:21:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2023-12|1|2023-12:0072:2024-01-01 17:14:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-01|1|2024-01:0073:2024-02-02 10:45:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
