BOUTIQUE;EXERCICE;PERIODE_DEBUT;PERIODE_FIN;PERIODES_FICHIER;TYPE_PERIODE;MODE_RETENU;COMPTEUR_Z;DATE_CLOTURE_PRECEDENTE;HEURE_CLOTURE_PRECEDENTE;DATE_CLOTURE_Z;HEURE_CLOTURE_Z;REGLE_RATTACHEMENT;NB_TICKETS_EJ;NB_RETOURS_CLE_EJ;MONTANT_RETOURS_CLE_EJ;RETOUR_CLE_Z1;CA_TTC_Z1;CA_TTC_EJ;HT_Z1;HT_EJ;TVA_Z1;TVA_EJ;CARTES_Z2;CARTES_EJ;CHEQUES_Z2;CHEQUES_EJ;ESPECES_Z2;ESPECES_EJ;ECART_CA_TTC;ECART_HT;ECART_TVA;ECART_CARTES;ECART_CHEQUES;ECART_ESPECES;NB_FICHIERS_Z1;NB_FICHIERS_Z2;STATUT;ANALYSE;NOTE;SOURCES_Z1;SOURCES_Z2
MASSENA;2023;2023-01;2023-01;2023-01;MOIS_SIMPLE;ZZ1;0061;DEBUT_PERIODE;;2023-01-31;18:44;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;121;0;0.00;0.00;76369.80;76369.80;63641.51;63641.51;12728.29;12728.29;15385.00;15385.00;6042.00;6042.00;54942.80;54942.80;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_31_012023_MASSENA.CSV;Z102_31_012023_MASSENA.CSV
MASSENA;2023;2023-02;2023-02;2023-02;MOIS_SIMPLE;ZZ1;0062;2023-01-31;18:44;2023-03-03;19:13;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;72;0;0.00;0.00;52765.00;52765.00;43970.84;43970.84;8794.16;8794.16;22705.00;22705.00;0.00;0.00;30060.00;30060.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_03_022023_MASSENA.CSV;Z102_03_022023_MASSENA.CSV
MASSENA;2023;2023-03;2023-03;2023-03;MOIS_SIMPLE;ZZ1;0063;2023-03-03;19:13;2023-04-01;10:35;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;53;0;0.00;0.00;33613.00;33613.00;28010.82;28010.82;5602.18;5602.18;4414.00;4414.00;987.00;987.00;28212.00;28212.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_032023_MASSENA.CSV;Z102_01_032023_MASSENA.CSV
MASSENA;2023;2023-04;2023-04;2023-04;MOIS_SIMPLE;ZZ1;0064;2023-04-01;10:35;2023-05-02;08:33;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;72;0;0.00;0.00;56096.00;56096.00;46746.64;46746.64;9349.36;9349.36;20500.00;20500.00;0.00;0.00;35596.00;35596.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_02_042023_MASSENA.CSV;Z102_02_042023_MASSENA.CSV
MASSENA;2023;2023-05;2023-05;2023-05;MOIS_SIMPLE;ZZ1;0065;2023-05-02;08:33;2023-06-01;10:11;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;47;0;0.00;0.00;40362.00;40362.00;33634.99;33634.99;6727.01;6727.01;23452.00;23452.00;0.00;0.00;16910.00;16910.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_052023_MASSENA.CSV;Z102_01_052023_MASSENA.CSV
MASSENA;2023;2023-06;2023-06;2023-06;MOIS_SIMPLE;ZZ1;0066;2023-06-01;10:11;2023-07-01;14:49;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;47;0;0.00;0.00;26691.00;26691.00;22242.47;22242.47;4448.53;4448.53;6499.00;6499.00;0.00;0.00;20192.00;20192.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_062023_MASSENA.CSV;Z102_01_062023_MASSENA.CSV
MASSENA;2023;2023-07;2023-07;2023-07;MOIS_SIMPLE;ZZ1;0067;2023-07-01;14:49;2023-08-01;13:05;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;38;0;0.00;0.00;31432.00;31432.00;26193.34;26193.34;5238.66;5238.66;12773.00;12773.00;0.00;0.00;18659.00;18659.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_072023_MASSENA.CSV;Z102_01_072023_MASSENA.CSV
MASSENA;2023;2023-08;2023-08;2023-08;MOIS_SIMPLE;ZZ1;0068;2023-08-01;13:05;2023-09-01;18:14;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;39;0;0.00;0.00;26224.00;26224.00;21853.32;21853.32;4370.68;4370.68;5315.00;5315.00;0.00;0.00;20909.00;20909.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_082023_MASSENA.CSV;Z102_01_082023_MASSENA.CSV
MASSENA;2023;2023-09;2023-09;2023-09;MOIS_SIMPLE;ZZ1;0069;2023-09-01;18:14;2023-10-01;17:53;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;60;0;0.00;0.00;33933.50;33933.50;28277.94;28277.94;5655.56;5655.56;13209.00;13209.00;0.00;0.00;20724.50;20724.50;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_092023_MASSENA.CSV;Z102_01_092023_MASSENA.CSV
MASSENA;2023;2023-10;2023-10;2023-10;MOIS_SIMPLE;ZZ1;0070;2023-10-01;17:53;2023-11-10;16:03;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;37;0;0.00;0.00;32123.80;32123.80;26769.83;26769.83;5353.97;5353.97;20776.00;20776.00;0.00;0.00;11347.80;11347.80;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_10_102023_MASSENA.CSV;Z102_10_102023_MASSENA.CSV
MASSENA;2023;2023-11;2023-11;2023-11;MOIS_SIMPLE;ZZ1;0071;2023-11-10;16:03;2023-12-01;14:21;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;6;0;0.00;0.00;6390.00;6390.00;5325.01;5325.01;1064.99;1064.99;5204.00;5204.00;0.00;0.00;1186.00;1186.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01A_112023_MASSENA.CSV;Z102_01A_112023_MASSENA.CSV
MASSENA;2023;2023-12;2023-12;2023-12;MOIS_SIMPLE;ZZ1;0072;2023-12-01;14:21;2024-01-01;17:14;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;36;0;0.00;0.00;28138.00;28138.00;23448.36;23448.36;4689.64;4689.64;9809.00;9809.00;0.00;0.00;18329.00;18329.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_122023_MASSENA.CSV;Z102_01_122023_MASSENA.CSV
MASSENA;2024;2024-01;2024-01;2024-01;MOIS_SIMPLE;ZZ1;0073;2024-01-01;17:14;2024-02-02;10:45;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;21;0;0.00;0.00;11548.00;11548.00;9623.34;9623.34;1924.66;1924.66;2324.00;2324.00;0.00;0.00;9224.00;9224.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_02_012024_MASSENA.CSV;Z102_02_012024_MASSENA.CSV
MASSENA;2024;2024-02;2024-02;2024-02;MOIS_SIMPLE;ZZ1;0074;2024-02-02;10:45;2024-03-02;14:50;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;24;0;0.00;0.00;11994.00;11994.00;9994.99;9994.99;1999.01;1999.01;4954.00;4954.00;0.00;0.00;7040.00;7040.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_02_022024_MASSENA.CSV;Z102_02_022024_MASSENA.CSV
MASSENA;2024;2024-03;2024-03;2024-03;MOIS_SIMPLE;ZZ1;0075;2024-03-02;14:50;2024-04-02;10:00;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;37;0;0.00;0.00;15311.10;15311.10;12759.21;12759.21;2551.89;2551.89;1044.50;1044.50;0.00;0.00;14266.60;14266.60;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_02_032024_MASSENA.CSV;Z102_02_032024_MASSENA.CSV
MASSENA;2024;2024-04;2024-04;2024-04;MOIS_SIMPLE;ZZ1;0076;2024-04-02;10:00;2024-04-30;17:45;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;25;0;0.00;0.00;11491.70;11491.70;9576.41;9576.41;1915.29;1915.29;8669.80;8669.80;0.00;0.00;2821.90;2821.90;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_30_042024_MASSENA.CSV;Z102_30_042024_MASSENA.CSV
MASSENA;2024;2024-05;2024-05;2024-05;MOIS_SIMPLE;ZZ1;0077;2024-04-30;17:45;2024-06-01;16:16;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;28;0;0.00;0.00;19200.20;19200.20;16000.12;16000.12;3200.08;3200.08;10232.30;10232.30;0.00;0.00;8967.90;8967.90;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_052024_MASSENA.CSV;Z102_01_052024_MASSENA.CSV
MASSENA;2024;2024-06;2024-06;2024-06;MOIS_SIMPLE;ZZ1;0078;2024-06-01;16:16;2024-07-01;11:33;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;47;0;0.00;0.00;33677.90;33677.90;28064.87;28064.87;5613.03;5613.03;15382.00;15382.00;0.00;0.00;18295.90;18295.90;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_062024_MASSENA.CSV;Z102_01_062024_MASSENA.CSV
MASSENA;2024;2024-07;2024-07;2024-07;MOIS_SIMPLE;ZZ1;0079;2024-07-01;11:33;2024-08-03;16:47;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;36;0;0.00;0.00;27349.00;27349.00;22790.84;22790.84;4558.16;4558.16;9139.00;9139.00;0.00;0.00;18210.00;18210.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_03_072024_MASSENA.CSV;Z102_03_072024_MASSENA.CSV
MASSENA;2024;2024-08;2024-08;2024-08;MOIS_SIMPLE;ZZ1;0080;2024-08-03;16:47;2024-09-02;00:39;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;49;0;0.00;0.00;36499.20;36499.20;30415.96;30415.96;6083.24;6083.24;11797.40;11797.40;0.00;0.00;24701.80;24701.80;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_02_082024_MASSENA.CSV;Z102_02_082024_MASSENA.CSV
MASSENA;2024;2024-09;2024-09;2024-09;MOIS_SIMPLE;ZZ1;0081;2024-09-02;00:39;2024-10-01;15:45;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;25;0;0.00;0.00;13449.90;13449.90;11208.22;11208.22;2241.68;2241.68;1214.00;1214.00;0.00;0.00;12235.90;12235.90;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_01_092024_MASSENA.CSV;Z102_01_092024_MASSENA.CSV
MASSENA;2024;2024-10;2024-10;2024-10;MOIS_SIMPLE;ZZ1;0082;2024-10-01;15:45;2024-11-05;18:08;DOSSIER_NOM_FICHIER_PUIS_INTERVALLE_ENTRE_CLOTURES;43;0;0.00;0.00;23588.70;23588.70;19657.21;19657.21;3931.49;3931.49;687.00;687.00;0.00;0.00;22901.70;22901.70;0.00;0.00;0.00;0.00;0.00;0.00;1;1;OK;CONCORDE_ENTRE_CLOTURES;Retours _R_F signés négativement.;Z101_05_102024_MASSENA.CSV;Z102_05_102024_MASSENA.CSV
