"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","TRANSACTION "
"FICHIER         ","FILE102"
"MODE            ","ZZ1 "
"COMPTEUR Z      ","0072"
"DATE            ","01-01-2024"
"HEURE           ","17:14"

"ENREGISTREMENT  ","DESIGNATION     ","QUANTITE/No     ","MONTANT         "
"0001","ESPECES     ","26","18,329.00"
"0002","SOUS-TOTAL  ","0","0.00"
"0003","CARTES      ","10","9,809.00"
"0004","CHEQUES     ","0","0.00"
"0005","AIDE        ","0","0.00"
"0006","TAX PGM     ","0","0.00"
"0007","SORTIECAISSE","0","0.00"
"0008","REC&ACCOMPTE","0","0.00"
"0009","SIGN-OFF    ","0","0.00"
"0010","NUM CAISSIER","0","0.00"
"0011","SHIFT/No    ","0","0.00"
"0012","DWN         ","0","0.00"
"0013","REMISE %-   ","0","0.00"
"0014","REMISE -    ","0","0.00"
"0015","PLU         ","0","0.00"
"0016","PRIX        ","0","0.00"
"0017","TICKETON/OFF","0","0.00"
"0018","CORRECTION  ","0","0.00"
"0019","RETOUR      ","0","0.00"
"0020","OUVERTURE   ","0","0.00"
"0021","RAPPELTICKET","0","0.00"
"0022","00          ","0","0.00"
"0023",".           ","0","0.00"
"0024","IMPRIME TVA ","0","0.00"
"0025","TIROIR      ","0","0.00"
"0026","COUPON      ","0","0.00"
"0027","UP          ","0","0.00"
"0028","CHANGE      ","0","0.00"
"0029","X           ","0","0.00"
"0030","REFERENCE   ","0","0.00"
"0031","REF./TIROIR ","0","0.00"
"0032","ANNULATION  ","0","0.00"
"0033","            ","0","0.00"
"0034","            ","0","0.00"
"0035","            ","0","0.00"
"0036","            ","0","0.00"
"0037","            ","0","0.00"
"0038","            ","0","0.00"
"0039","            ","0","0.00"
"0040","            ","0","0.00"
"0041","            ","0","0.00"
"0042","            ","0","0.00"
"0043","            ","0","0.00"
"0044","            ","0","0.00"
"0045","            ","0","0.00"
"0046","            ","0","0.00"
"0047","            ","0","0.00"
"0048","            ","0","0.00"
"0049","            ","0","0.00"
"0050","            ","0","0.00"
