"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0027"
"DATE            ","01-02-2023"
"HEURE           ","10:07"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","3","897.00","1","897.00"
"0005","0","0.00","0","0.00"
"0006","28","8,138.00","5","8,138.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","4","461.80","2","461.80"
"0012","0","0.00","0","0.00"
"0013","5","1,073.00","3","1,073.00"
"0014","4","944.00","2","944.00"
"0015","0","0.00","0","0.00"
"0016","5","1,660.00","4","1,660.00"
"0017","19","5,287.00","5","5,287.00"
"0018","7","266.80","2","266.80"
"0019","2","598.00","1","598.00"
"0020","0","0.00","0","0.00"
"0021","2","598.00","1","598.00"
"0022","0","0.00","0","0.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","5","1,495.00","3","1,495.00"
"0026","2","598.00","1","598.00"
"0027","4","1,196.00","2","1,196.00"
"0028","0","0.00","0","0.00"
"0029","0","0.00","0","0.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
