"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0036"
"DATE            ","02-11-2023"
"HEURE           ","11:06"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","6","1,974.00","4","1,974.00"
"0004","1","329.00","1","329.00"
"0005","3","987.00","2","987.00"
"0006","4","2,767.00","3","2,767.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","6","1,974.00","2","1,974.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","3","627.00","1","627.00"
"0013","1","329.00","1","329.00"
"0014","2","658.00","1","658.00"
"0015","0","0.00","0","0.00"
"0016","2","658.00","1","658.00"
"0017","2","3,890.00","1","3,890.00"
"0018","1","320.00","1","320.00"
"0019","7","599.00","2","599.00"
"0020","0","0.00","0","0.00"
"0021","3","807.00","1","807.00"
"0022","0","0.00","0","0.00"
"0023","1","329.00","1","329.00"
"0024","2","558.00","1","558.00"
"0025","5","3,978.00","2","3,978.00"
"0026","4","1,298.00","2","1,298.00"
"0027","0","0.00","0","0.00"
"0028","1","239.00","1","239.00"
"0029","0","0.00","0","0.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
