"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0090"
"DATE            ","02-03-2024"
"HEURE           ","14:53"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","1","88.00","1","88.00"
"0002","19","5,787.00","8","5,787.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","5","1,361.00","2","1,361.00"
"0006","4","834.00","2","834.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","2","458.00","2","458.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","0","0.00","0","0.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","3","974.00","3","974.00"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","1","329.00","1","329.00"
"0023","2","638.00","2","638.00"
"0024","3","987.00","1","987.00"
"0025","0","0.00","0","0.00"
"0026","1","389.00","1","389.00"
"0027","0","0.00","0","0.00"
"0028","1","149.00","1","149.00"
"0029","0","0.00","0","0.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
