"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0058"
"DATE            ","01-08-2025"
"HEURE           ","09:41"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","3","867.00","2","867.00"
"0002","0","0.00","0","0.00"
"0003","5","1,015.90","3","1,015.90"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","0","0.00","0","0.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","0","0.00","0","0.00"
"0010","1","1,040.00","1","1,040.00"
"0011","1","329.00","1","329.00"
"0012","3","987.00","2","987.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","0","0.00","0","0.00"
"0016","7","3,343.00","6","3,343.00"
"0017","1","329.00","1","329.00"
"0018","0","0.00","0","0.00"
"0019","0","0.00","0","0.00"
"0020","1","329.00","1","329.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","0","0.00","0","0.00"
"0026","0","0.00","0","0.00"
"0027","1","88.00","1","88.00"
"0028","1","88.00","1","88.00"
"0029","1","329.00","1","329.00"
"0030","2","1,329.00","1","1,329.00"
"0031","0","0.00","0","0.00"
