"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0099"
"DATE            ","05-11-2024"
"HEURE           ","18:10"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","3","2,188.00","3","2,188.00"
"0002","0","0.00","0","0.00"
"0003","1","250.00","1","250.00"
"0004","38","3,913.00","5","3,913.00"
"0005","5","637.90","4","637.90"
"0006","0","0.00","0","0.00"
"0007","1","250.00","1","250.00"
"0008","0","0.00","0","0.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","1","250.00","1","250.00"
"0012","5","2,168.00","3","2,168.00"
"0013","0","0.00","0","0.00"
"0014","4","1,530.00","4","1,530.00"
"0015","9","1,423.00","4","1,423.00"
"0016","1","329.00","1","329.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","0","0.00","0","0.00"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","0","0.00","0","0.00"
"0024","5","2,806.80","4","2,806.80"
"0025","4","2,216.00","4","2,216.00"
"0026","0","0.00","0","0.00"
"0027","0","0.00","0","0.00"
"0028","3","1,908.00","3","1,908.00"
"0029","4","3,079.00","4","3,079.00"
"0030","2","640.00","1","640.00"
"0031","0","0.00","0","0.00"
