"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0106"
"DATE            ","01-07-2025"
"HEURE           ","10:00"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","5","1,946.00","3","1,946.00"
"0006","1","329.00","1","329.00"
"0007","8","1,705.70","6","1,705.70"
"0008","2","579.00","2","579.00"
"0009","4","957.90","3","957.90"
"0010","2","658.00","1","658.00"
"0011","6","1,540.00","2","1,540.00"
"0012","3","568.00","3","568.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","4","1,014.00","1","1,014.00"
"0016","0","0.00","0","0.00"
"0017","1","329.00","1","329.00"
"0018","2","339.90","2","339.90"
"0019","2","128.90","1","128.90"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","3","329.80","2","329.80"
"0024","0","0.00","0","0.00"
"0025","0","0.00","0","0.00"
"0026","1","239.00","1","239.00"
"0027","1","329.00","1","329.00"
"0028","3","757.00","2","757.00"
"0029","0","0.00","0","0.00"
"0030","3","707.90","2","707.90"
"0031","0","0.00","0","0.00"
