"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0043"
"DATE            ","01-06-2024"
"HEURE           ","13:45"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","2","2,080.00","1","2,080.00"
"0002","2","658.00","1","658.00"
"0003","0","0.00","0","0.00"
"0004","2","658.00","2","658.00"
"0005","0","0.00","0","0.00"
"0006","4","876.00","1","876.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","0","0.00","0","0.00"
"0010","6","1,704.90","2","1,704.90"
"0011","1","329.00","1","329.00"
"0012","0","0.00","0","0.00"
"0013","1","329.00","1","329.00"
"0014","2","568.00","2","568.00"
"0015","6","1,415.80","3","1,415.80"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","0","0.00","0","0.00"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","4","1,316.00","1","1,316.00"
"0023","19","4,276.40","4","4,276.40"
"0024","0","0.00","0","0.00"
"0025","1","54.90","1","54.90"
"0026","0","0.00","0","0.00"
"0027","2","658.00","1","658.00"
"0028","1","329.00","1","329.00"
"0029","5","1,645.00","3","1,645.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
