nomfichier|E_MODELE|E_MACHINE|E_RAPPORT|E_FICHIER|E_MODE|E_COMPTEUR_Z|E_DATE|E_HEURE|D_ENREGISTREMENT|D_DESIGNATION|D_QUANTITE|D_MONTANT
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0001|CA BRUT|90|23212.60
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0002|CA NET|32|23212.60
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0003|ESP.TIROIR|0|5248.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0004|CB.TIROIR|0|17964.60
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0005|CHQ.TIROIR|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0006|CR.TIROIR(1)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0007|CR.TIROIR(2)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0008|CR.TIROIR(3)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0009|CR.TIROIR(4)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0010|ESP.TIROIR2|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0011|CB.TIROIR2|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0012|CHQ.TIROIR2|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0013|CR.TIROI2(1)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0014|CR.TIROI2(2)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0015|CR.TIROI2(3)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0016|CR.TIROI2(4)|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0017|RETOUR CLE|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0018|CLIENTS|32|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0019|PANIER MOYEN|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0020|COMMISSION 1|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0021|COMMISSION 2|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0022|CHANGE ESP 1|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0023|CHANGE CHEQ1|0|0.00
Z001_01_012023_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0019|2023-02-01|10:06|0024|CHANGE ESP 2|0|0.00
