nomfichier|E_MODELE|E_MACHINE|E_RAPPORT|E_FICHIER|E_MODE|E_COMPTEUR_Z|E_DATE|E_HEURE|D_ENREGISTREMENT|D_DESIGNATION|D_QUANTITE|D_MONTANT
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0001|CA BRUT|65|19200.20
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0002|CA NET|28|19200.20
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0003|ESP.TIROIR|0|8967.90
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0004|CB.TIROIR|0|10232.30
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0005|CHQ.TIROIR|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0006|CR.TIROIR(1)|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0007|CR.TIROIR(2)|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0008|CR.TIROIR(3)|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0009|CR.TIROIR(4)|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0010|ESP.TIROIR2|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0011|CB.TIROIR2|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0012|CHQ.TIROIR2|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0013|CR.TIROI2(1)|0|0.00
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0014|CR.TIROI2(2)|0|0.00
