nomfichier|E_MODELE|E_MACHINE|E_RAPPORT|E_FICHIER|E_MODE|E_COMPTEUR_Z|E_DATE|E_HEURE|D_ENREGISTREMENT|D_DESIGNATION|D_QUANTITE|D_MONTANT
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0001|ESPECES|10|5248.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0002|SOUS-TOTAL|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0003|CARTES|22|17964.60
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0004|CHEQUES|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0005|AIDE|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0006|TAX PGM|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0007|SORTIECAISSE|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0008|REC&ACCOMPTE|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0009|SIGN-OFF|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0010|NUM CAISSIER|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0011|SHIFT/No|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0012|DWN|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0013|REMISE %-|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0014|REMISE -|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0015|PLU|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0016|PRIX|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0017|TICKETON/OFF|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0018|CORRECTION|1|0.45
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0019|RETOUR|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0020|OUVERTURE|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0021|RAPPELTICKET|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0022|00|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0023|.|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0024|IMPRIME TVA|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0025|TIROIR|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0026|COUPON|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0027|UP|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0028|CHANGE|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0029|X|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0030|REFERENCE|0|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0031|REF./TIROIR|2|0.00
Z002_01_012023_MATURIN.CSV||MC#01|TRANSACTION|FILE002|Z|0019|2023-02-01|10:06|0032|ANNULATION|0|0.00
