nomfichier;E_MODELE;E_MACHINE;E_RAPPORT;E_FICHIER;E_MODE;E_COMPTEUR_Z;E_DATE;E_HEURE;D_ENREGISTREMENT;D_DESIGNATION;D_QUANTITE;D_MONTANT
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0001;CA BRUT;63.00;26282.65
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0002;CA NET;94.00;26282.65
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0003;ESP.TIROIR;0.00;2027.95
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0004;CB.TIROIR;0.00;24254.70
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0005;CHQ.TIROIR;0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0006;CR.TIROIR(1);0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0007;CR.TIROIR(2);0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0008;CR.TIROIR(3);0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0009;CR.TIROIR(4);0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0010;ESP.TIROIR2;0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0011;CB.TIROIR2;0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0012;CHQ.TIROIR2;0.00;0.00
Z001_01_012024_MATURIN.CSV;;MC#01;FONC FIXES;FILE001;Z;0029;2024-02-01;10:29;0013;CR.TIROI2(1);0.00;0.00
