nomfichier;E_MODELE;E_MACHINE;E_RAPPORT;E_FICHIER;E_MODE;E_COMPTEUR_Z;E_DATE;E_HEURE;D_ENREGISTREMENT;D_DESIGNATION;D_QUANTITE;D_MONTANT
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0001;CA BRUT;1116.00;330503.60
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0002;CA NET;552.00;330503.60
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0003;ESP.TIROIR;0.00;221991.10
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0004;CB.TIROIR;0.00;108512.50
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0005;CHQ.TIROIR;0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0006;CR.TIROIR(1);0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0007;CR.TIROIR(2);0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0008;CR.TIROIR(3);0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0009;CR.TIROIR(4);0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0010;ESP.TIROIR2;0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0011;CB.TIROIR2;0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0012;CHQ.TIROIR2;0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0013;CR.TIROI2(1);0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0014;CR.TIROI2(2);0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0015;CR.TIROI2(3);0.00;0.00
Z001_31B_072025_MASSENA.CSV;;MC#01;FONC FIXES;FILE001;Z;0020;2025-07-31;18:40;0016;CR.TIROI2(4);0.00;0.00
