nomfichier|E_MODELE|E_MACHINE|E_RAPPORT|E_FICHIER|E_MODE|E_COMPTEUR_Z|E_DATE|E_HEURE|D_ENREGISTREMENT|D_DESIGNATION|D_QUANTITE|D_MONTANT
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0001|CA BRUT|31|11680.30
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0002|CA NET|19|11680.30
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0003|ESP.TIROIR|0|2731.50
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0004|CB.TIROIR|0|8948.80
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0005|CHQ.TIROIR|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0006|CR.TIROIR(1)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0007|CR.TIROIR(2)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0008|CR.TIROIR(3)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0009|CR.TIROIR(4)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0010|ESP.TIROIR2|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0011|CB.TIROIR2|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0012|CHQ.TIROIR2|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0013|CR.TIROI2(1)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0014|CR.TIROI2(2)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0015|CR.TIROI2(3)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0016|CR.TIROI2(4)|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0017|RETOUR CLE|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0018|CLIENTS|19|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0019|PANIER MOYEN|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0020|COMMISSION 1|0|0.00
Z001_01_012025_MATURIN.CSV||MC#01|FONC FIXES|FILE001|Z|0041|2025-02-01|15:53|0021|COMMISSION 2|0|0.00
