nomfichier;E_MODELE;E_MACHINE;E_RAPPORT;E_FICHIER;E_MODE;E_COMPTEUR_Z;E_DATE;E_HEURE;D_ENREGISTREMENT;D_DESIGNATION;D_QUANTITE;D_MONTANT
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0001;ESPECES;796.00;466079.50
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0002;SOUS-TOTAL;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0003;CARTES;286.00;243418.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0004;CHEQUES;2.00;7029.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0005;AIDE;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0006;TAX PGM;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0007;SORTIECAISSE;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0008;REC&ACCOMPTE;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0009;SIGN-OFF;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0010;NUM CAISSIER;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0011;SHIFT/No;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0012;DWN;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0013;REMISE %-;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0014;REMISE -;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0015;PLU;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0016;PRIX;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0017;TICKETON/OFF;0.00;0.00
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0018;CORRECTION;4.00;360.90
Z002_01_112023_MASSENA.CSV;;MC#01;TRANSACTION;FILE002;Z;0019;2023-12-01;14:19;0019;RETOUR;0.00;0.00
