nomfichier;E_MODELE;E_MACHINE;E_RAPPORT;E_FICHIER;E_MODE;E_COMPTEUR_Z;E_DATE;E_HEURE;D_ENREGISTREMENT;D_DESIGNATION;D_QUANTITE;D_MONTANT
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0001;ESPECES;41.00;2027.95
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0002;SOUS-TOTAL;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0003;CARTES;55.00;24254.70
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0004;CHEQUES;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0005;AIDE;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0006;TAX PGM;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0007;SORTIECAISSE;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0008;REC&ACCOMPTE;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0009;SIGN-OFF;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0010;NUM CAISSIER;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0011;SHIFT/No;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0012;DWN;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0013;REMISE %-;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0014;REMISE -;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0015;PLU;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0016;PRIX;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0017;TICKETON/OFF;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0018;CORRECTION;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0019;RETOUR;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0020;OUVERTURE;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0021;RAPPELTICKET;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0022;00;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0023;.;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0024;IMPRIME TVA;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0025;TIROIR;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0026;COUPON;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0027;UP;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0028;CHANGE;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0029;X;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0030;REFERENCE;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0031;REF./TIROIR;15.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0032;ANNULATION;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0033;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0034;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0035;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0036;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0037;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0038;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0039;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0040;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0041;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0042;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0043;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0044;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0045;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0046;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0047;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0048;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0049;;0.00;0.00
Z002_01_012024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0029;2024-02-01;10:29;0050;;0.00;0.00
Z002_01_022024_MATURIN.CSV;;MC#01;TRANSACTION;FILE002;Z;0030;2024-03-01;09:35;0001;ESPECES;10.00;3786.80
